epoch,beam1_deg,beam2_deg,beam3_deg,beam4_deg,energy1,energy2,energy3,energy4,dominant_beam,dominance_ratio
1788692821.2111368,183.42784472695396,190.39193292545562,187.41780901364362,183.42784472695396,2124698.5,72123.2734375,1883557.75,2124698.5,1,1.0
1788692821.3540127,183.42784472695396,190.39193292545562,93.60279068787649,183.42784472695396,17477.875,0.0,0.0,17477.875,1,1.0
1788692821.4967666,183.42784472695396,190.39193292545562,89.99636201365055,183.42784472695396,0.0,0.0,0.0,0.0,1,0.0
1788692821.6396444,183.42784472695396,190.39193292545562,157.02104932012068,183.42784472695396,0.0,0.0,0.0,0.0,1,0.0
1788692821.782531,183.42784472695396,190.39193292545562,75.87606605567306,183.42784472695396,0.0,0.0,0.0,0.0,1,0.0
1788692821.9261854,183.42784472695396,190.39193292545562,189.15564136492665,183.42784472695396,0.0,0.0,0.0,0.0,1,0.0
1788692822.0897927,183.42784472695396,190.39193292545562,180.07560154269004,183.42784472695396,0.0,0.0,0.0,0.0,1,0.0
1788692822.232667,183.42784472695396,190.39193292545562,180.62794528049062,183.42784472695396,0.0,0.0,0.0,0.0,1,0.0
1788692822.375429,183.42784472695396,190.39193292545562,101.63601522734945,183.42784472695396,0.0,0.0,0.0,0.0,1,0.0
1788692822.539085,183.42784472695396,190.39193292545562,154.96240298352217,154.96240298352217,0.0,0.0,0.0,0.0,1,0.0
1788692822.681944,183.42784472695396,190.39193292545562,88.94538714568235,88.94538714568235,0.0,0.0,0.0,0.0,1,0.0
1788692822.824689,183.42784472695396,190.39193292545562,85.86447322619719,85.86447322619719,0.0,0.0,0.0,0.0,1,0.0
1788692822.9678354,183.42784472695396,190.39193292545562,84.742430239915,84.742430239915,0.0,0.0,0.0,0.0,1,0.0
1788692823.1107028,183.42784472695396,190.39193292545562,93.19118982811318,93.19118982811318,0.0,0.0,0.0,0.0,1,0.0
1788692823.2744787,183.42784472695396,190.39193292545562,175.001672574341,175.001672574341,0.0,0.0,0.0,0.0,1,0.0
1788692823.4173453,183.42784472695396,190.39193292545562,87.23503947561946,87.23503947561946,0.0,0.0,0.0,0.0,1,0.0
1788692823.5602307,183.42784472695396,190.39193292545562,81.99450853303547,81.99450853303547,0.0,0.0,0.0,0.0,1,0.0
1788692823.7031057,183.42784472695396,190.39193292545562,87.59729904881858,87.59729904881858,0.0,0.0,0.0,0.0,1,0.0
1788692823.8667502,183.42784472695396,190.39193292545562,82.8582064441511,82.8582064441511,0.0,0.0,0.0,0.0,1,0.0
1788692824.0098763,183.42784472695396,190.39193292545562,144.44866547336485,144.44866547336485,0.0,0.0,0.0,0.0,1,0.0
1788692824.1527548,183.42784472695396,190.39193292545562,142.07218311392896,142.07218311392896,187266.09375,0.0,753590.375,753590.375,3,1.0
1788692824.2958891,142.72738950062995,190.39193292545562,143.2939810130392,143.2939810130392,1388383.125,0.0,2467123.25,2467123.25,3,1.0
1788692824.4387558,143.1038148861677,190.39193292545562,146.1816210695805,146.1816210695805,1138169.625,0.0,1808385.0,1808385.0,3,1.0
1788692824.6024039,143.10762613172457,190.39193292545562,144.81563787709132,143.10762613172457,3216466.0,0.0,2859592.25,3216466.0,1,1.0
1788692824.7453043,143.3740444904901,190.39193292545562,147.61082449302734,143.3740444904901,256197.25,0.0,137755.21875,256197.25,1,1.0
1788692824.8881507,143.3740444904901,190.39193292545562,141.50317371455355,143.3740444904901,0.0,0.0,0.0,0.0,1,0.0
